ticker,company_name,market,revenue_period,period_type,revenue,currency,source
2377.TW,微星,TW,2023-04,monthly,13109949000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2023-04-01,quarterly,5353000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2376.TW,技嘉,TW,2023-05,monthly,9477940000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2023-05,monthly,13859134000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2023-06,monthly,9644629000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2023-06,monthly,14322708000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2023-07,monthly,8691762000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2023-07,monthly,13914288000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2023-07-01,quarterly,5359000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2376.TW,技嘉,TW,2023-08,monthly,11937368000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2023-08,monthly,16893813000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2023-09,monthly,16271282000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2023-09,monthly,18110067000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2023-09-30,quarterly,5800000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2376.TW,技嘉,TW,2023-10,monthly,16764958000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2023-10,monthly,19147888000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2023-11,monthly,15915793000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2023-11,monthly,18064202000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2023-12,monthly,12845855000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2023-12,monthly,11942671000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2024-01,monthly,16930021000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-01,monthly,16392833000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2024-02,monthly,13968881000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-02,monthly,14819035000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2024-03,monthly,24253194000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-03,monthly,16414666000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2024-03-30,quarterly,5473000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2376.TW,技嘉,TW,2024-04,monthly,28523875000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-04,monthly,16405977000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2024-05,monthly,22477138000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-05,monthly,15557010000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2024-06,monthly,22932130000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-06,monthly,14709037000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2024-06-29,quarterly,5835000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2376.TW,技嘉,TW,2024-07,monthly,19035807000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-07,monthly,15853346000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2024-08,monthly,24662927000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-08,monthly,16422915000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2024-09,monthly,26735874000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-09,monthly,19810278000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2024-09-28,quarterly,6819000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2376.TW,技嘉,TW,2024-10,monthly,25771684000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-10,monthly,20066245000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2024-11,monthly,22242930000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-11,monthly,18827063000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2024-12,monthly,17597178000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2024-12,monthly,12593345000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2025-01,monthly,21091561000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2025-01,monthly,16654367000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2025-02,monthly,22326218000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2025-02,monthly,16622598000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2025-03,monthly,22322801000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2025-03,monthly,20263385000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2025-03-29,quarterly,7438000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2376.TW,技嘉,TW,2025-04,monthly,30098100000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2025-04,monthly,21041154000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2025-05,monthly,46728346000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2025-05,monthly,20714566000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2025-06,monthly,25447702000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2025-06,monthly,19560912000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2025-06-28,quarterly,7685000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2376.TW,技嘉,TW,2025-07,monthly,27690083000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2025-07,monthly,19346145000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2025-08,monthly,23888296000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2025-08,monthly,18834279000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2025-09,monthly,27988237000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2025-09,monthly,19551665000.0,TWD,https://api.finmindtrade.com/api/v4/data
